""	"Christop"	"Christia"	"John"	"James"	"William"	"Jionni"	"Naksh"	"Jometh"	"Viaan"	"Shenouda"	"Jefre"	"Robert"	"Alfy"	"Dilanjan"	"Joseph"	"Trayvond"	"Kimario"	"Terdell"	"Chandar"	"Pajtim"	"Eriksson"	"Ebay"	"Andamo"	"Tamija"	"Jamiroquan"	"Demea"	"Johnbenedict"	"Tio"	"Charles"	"Sunel"	"Johnatho"	"Tyrann"	"Coopar"	"Kya"	"Itzae"	"Quarterrio"	"Dmoni"	"Fardy"	"Jencarlos"	"Travolta"	"Jeremih"	"Jervontae"	"Zaykeese"	"Starbuck"	"Albieri"	"Sarith"	"Amareion"	"Tremelle"	"Mackenzi"	"Quaysean"	"Ardan"
"0.999452054794521"	1	1	0.999452054794521	0.998356164383562	0.998904109589041	1	1	1	1	1	1	0.995616438356164	1	1	0.996712328767123	1	1	1	1	1	1	1	1	1	1	1	1	1	0.997260273972603	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"0.999444135630906"	1	1	0.999444135630906	0.998332406892718	0.998888271261812	1	1	1	1	1	1	0.995553085047248	1	1	0.996664813785436	1	1	1	1	1	1	1	1	1	1	1	1	1	0.99722067815453	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"0.999493670886076"	1	1	0.999493670886076	0.998481012658228	0.998987341772152	1	1	1	1	1	1	0.996455696202532	1	1	0.996962025316456	1	1	1	1	1	1	1	1	1	1	1	1	1	0.99746835443038	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"0.999457111834962"	1	1	0.999457111834962	0.998371335504886	0.998914223669924	1	1	1	1	1	1	0.996199782844734	1	1	0.996742671009772	1	1	1	1	1	1	1	1	1	1	1	1	1	0.99728555917481	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"0.999550561797753"	1	1	0.999550561797753	0.998651685393258	0.999101123595506	1	1	1	1	1	1	0.997303370786517	1	1	0.99685393258427	1	1	1	1	1	1	1	1	1	1	1	1	1	0.997752808988764	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"0.999485331960885"	1	1	0.999485331960885	0.998455995882656	0.99897066392177	1	1	1	1	1	1	0.996397323726197	1	1	0.996911991765311	1	1	1	1	1	1	1	1	1	1	1	1	1	0.997426659804426	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"0.99951028403526"	1	1	0.99951028403526	0.998530852105779	0.999020568070519	1	1	1	1	1	1	0.997061704211557	1	1	0.996571988246817	1	1	1	1	1	1	1	1	1	1	1	1	1	0.997551420176298	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"0.99951992318771"	1	1	0.99951992318771	0.99855976956313	0.99903984637542	1	1	1	1	1	1	0.99663946231397	1	1	0.99711953912626	1	1	1	1	1	1	1	1	1	1	1	1	1	0.99759961593855	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"0.999538319482918"	1	1	0.999538319482918	0.998614958448753	0.999076638965836	1	1	1	1	1	1	0.997691597414589	1	1	0.996768236380425	1	1	1	1	1	1	1	1	1	1	1	1	1	0.997229916897507	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"0.999552572706935"	1	1	0.999552572706935	0.998657718120805	0.99910514541387	1	1	1	1	1	1	0.997315436241611	1	1	0.996868008948546	1	1	1	1	1	1	1	1	1	1	1	1	1	0.997762863534676	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"0.99954954954955"	1	1	0.99954954954955	0.998648648648649	0.999099099099099	1	1	1	1	1	1	0.997747747747748	1	1	0.996846846846847	1	1	1	1	1	1	1	1	1	1	1	1	1	0.997297297297297	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"0.999583159649854"	1	1	0.999583159649854	0.998749478949562	0.999166319299708	1	1	1	1	1	1	0.997915798249271	1	1	0.997082117548979	1	1	1	1	1	1	1	1	1	1	1	1	1	0.997498957899125	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"0.999589153656532"	1	1	0.999589153656532	0.998767460969597	0.999178307313065	1	1	1	1	1	1	0.997945768282662	1	1	0.997534921939195	1	1	1	1	1	1	1	1	1	1	1	1	1	0.997124075595727	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"0.999607535321821"	1	1	0.999607535321821	0.998822605965463	0.999215070643642	1	1	1	1	1	1	0.998037676609105	1	1	0.997645211930926	1	1	1	1	1	1	1	1	1	1	1	1	1	0.997252747252747	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"0.999641448547867"	1	1	0.999641448547867	0.999282897095733	0.9989243456436	1	1	1	1	1	1	0.998565794191467	1	1	0.9978486912872	1	1	1	1	1	1	1	1	1	1	1	1	1	0.997490139835066	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"0.999651324965133"	1	1	0.999651324965133	0.998953974895398	0.999302649930265	1	1	1	1	1	1	0.998256624825662	1	1	0.997907949790795	1	1	1	1	1	1	1	1	1	1	1	1	1	0.997559274755927	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"0.999709555620099"	1	1	0.999709555620099	0.999128666860296	0.999419111240198	1	1	1	1	1	1	0.998838222480395	1	1	0.998547778100494	1	1	1	1	1	1	1	1	1	1	1	1	1	0.997966889340691	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"0.999730167296276"	1	1	0.999730167296276	0.999190501888829	0.999460334592553	1	1	1	1	1	1	0.998920669185105	1	1	0.998650836481382	1	1	1	1	1	1	1	1	1	1	1	1	1	0.998111171073934	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"0.99976213130352"	1	1	0.99976213130352	0.999286393910561	0.999524262607041	1	1	1	1	1	1	0.999048525214082	1	1	0.998810656517602	1	1	1	1	1	1	1	1	1	1	1	1	1	0.998334919124643	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"0.999798711755233"	1	1	0.999798711755233	0.9993961352657	0.999597423510467	1	1	1	1	1	1	0.999194847020934	1	1	0.998993558776167	1	1	1	1	1	1	1	1	1	1	1	1	1	0.998590982286634	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"0.999806276636962"	1	1	0.999806276636962	0.999418829910887	0.999612553273925	1	1	1	1	1	1	0.99922510654785	1	1	0.999031383184812	1	1	1	1	1	1	1	1	1	1	1	1	1	0.998837659821775	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"0.999811817839669"	1	1	0.999811817839669	0.999435453519006	0.999623635679338	1	1	1	1	1	1	0.999247271358675	1	1	0.999059089198344	1	1	1	1	1	1	1	1	1	1	1	1	1	0.998682724877682	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"0.999820981023989"	1	1	0.999820981023989	0.999462943071966	0.999641962047977	1	1	1	1	1	1	0.999283924095954	1	1	0.99874686716792	1	1	1	1	1	1	1	1	1	1	1	1	1	0.999104905119943	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"0.999820111530851"	1	1	0.999820111530851	0.999460334592553	0.999640223061702	1	1	1	1	1	1	0.999280446123403	1	1	0.998740780715956	1	1	1	1	1	1	1	1	1	1	1	1	1	0.999100557654254	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"0.999826539462272"	1	1	0.999826539462272	0.999306157849089	0.999653078924545	1	1	1	1	1	1	0.999479618386817	1	1	0.998785776235906	1	1	1	1	1	1	1	1	1	1	1	1	1	0.999132697311362	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"0.999829642248722"	1	1	0.999829642248722	0.999318568994889	0.999488926746167	1	1	1	1	1	1	0.999659284497445	1	1	0.998807495741056	1	1	1	1	1	1	1	1	1	1	1	1	1	0.999148211243612	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"0.999827258593885"	1	1	0.999827258593885	0.99930903437554	0.999481775781655	1	1	1	1	1	1	0.99965451718777	1	1	0.998790810157195	1	1	1	1	1	1	1	1	1	1	1	1	1	0.999136292969425	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"0.999825783972125"	1	1	0.999825783972125	0.999303135888502	0.999477351916376	1	1	1	1	1	1	0.999651567944251	1	1	0.998780487804878	1	1	1	1	1	1	1	1	1	1	1	1	1	0.999128919860627	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"0.999660959484658"	1	1	0.999660959484658	0.999321918969317	0.999491439226988	1	1	1	1	1	1	0.999830479742329	1	1	0.998813358196304	1	1	1	1	1	1	1	1	1	1	1	1	1	0.999152398711646	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"0.99965367965368"	1	1	0.99965367965368	0.999307359307359	0.99948051948052	1	1	1	1	1	1	0.99982683982684	1	1	0.998787878787879	1	1	1	1	1	1	1	1	1	1	1	1	1	0.999134199134199	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"0.999644128113879"	1	1	0.999644128113879	0.999466192170819	0.999288256227758	1	1	1	1	1	1	0.99982206405694	1	1	0.998576512455516	1	1	1	1	1	1	1	1	1	1	1	1	1	0.999110320284697	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"0.99964317573595"	1	1	0.99964317573595	0.999464763603925	0.9992863514719	1	1	1	1	1	1	0.999821587867975	1	1	0.998394290811775	1	1	1	1	1	1	1	1	1	1	1	1	1	0.999107939339875	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"0.999632014719411"	1	1	0.999632014719411	0.999448022079117	0.999264029438822	1	1	1	1	1	1	0.999816007359706	1	1	0.998344066237351	1	1	1	1	1	1	1	1	1	1	1	1	1	0.999080036798528	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"0.99943095599393"	1	1	0.99943095599393	0.999620637329287	0.999241274658574	1	1	1	1	1	1	0.999810318664643	1	1	0.998292867981791	1	1	1	1	1	1	1	1	1	1	1	1	1	0.999051593323217	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"0.999428462564298"	1	1	0.999428462564298	0.999618975042865	0.999237950085731	1	1	1	1	1	1	0.999809487521433	1	1	0.998285387692894	1	1	1	1	1	1	1	1	1	1	1	1	1	0.998856925128596	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"0.999396742409009"	1	1	0.999396742409009	0.999597828272672	0.999195656545345	1	1	1	1	1	1	0.999798914136336	1	1	0.998190227227026	1	1	1	1	1	1	1	1	1	1	1	1	1	0.998793484818017	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"0.999411880023525"	1	1	0.999411880023525	0.999607920015683	0.999215840031366	1	1	1	1	1	1	0.999803960007842	1	1	0.998235640070574	1	1	1	1	1	1	1	1	1	1	1	1	1	0.99882376004705	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
